Diatoms,Dinoflagellates,Haptophytes,Cryptophytes,Green_algae,Cyanobacteria
0.11405202024506965,0.038075041265303616,0.08537778711542822,0.07836045006176706,0.054520150935824546,0.03402892095788364
0.06919516232464394,0.008940599584489423,0.08357151004282552,0.06772356978150333,0.04803765720090109,0.039891131901735793
0.06804080251923186,0.008191149864883271,0.08085476574661736,0.06276338465268438,0.043603966663258206,0.04905344102149158
0.05260517941807159,0.008588498404574152,0.05972542258299042,0.04901530989736682,0.039704010149718666,0.04208144511992732
0.0528554783106308,0.009655077703020126,0.050392811051860956,0.04789392685200039,0.046895736929527906,0.056119038175245765
0.039163882708539176,0.00801340772964479,0.05380514647075645,0.03937768955331283,0.03485400678087199,0.039774402304949864
0.0069371884265048405,0.007748556735572544,0.034660544764631096,0.020516653638496536,0.02416867035449522,0.03215205298389112
0.0,0.002911202782112439,0.012045989054420128,0.0,0.004587212057754713,0.027475252503489412
0.0168691789232874,0.009026286134264587,0.03376879479738113,0.021321924754262082,0.025718006363149956,0.029323698316540296
0.06319309568799329,0.00827069283387763,0.08196822555792835,0.0654798226125936,0.04848181038780099,0.041573826159456095
0.035992645015116655,0.008263406819334032,0.044855397279871756,0.054580183070529587,0.03566400476605766,0.030088733663873997
0.04487275686908775,0.007740023356941905,0.05669925872749017,0.05367283088733583,0.037514069882427226,0.03024328909244685
0.05255242376018329,0.0075836453936423825,0.0637276083095351,0.051391792410883846,0.043185641926064756,0.03929183911555093
0.06308876797182854,0.007089877058544872,0.08528862958776436,0.07098509273439015,0.049071224597888805,0.0429189277692514
0.11080302841182291,0.03442402885164361,0.08720468019942712,0.08662080757555808,0.06196485433030119,0.025222993681228174
0.08166417638102648,0.019558693181774875,0.06513292008569611,0.06887208449879126,0.04780401395413082,0.061385599649909466
0.04614881624905526,0.006810389564031363,0.07086124893129428,0.0556865636560189,0.03973107088870677,0.03917833088102389
0.07196775548545381,0.019155758010803034,0.055711461717957975,0.06831446770382157,0.045716618630745394,0.050132695370242744
0.05245968816287118,0.007845408483649716,0.07470587671433483,0.052198053387388484,0.040500464408748986,0.04296202597119481
0.04554226370641854,0.009533273040390061,0.05014383563683609,0.049533671413379526,0.04800678085625186,0.05385210110200754
0.08226389725480533,0.022836181273364106,0.06407538082168088,0.07134185070070481,0.04873780496936453,0.056701545490781935
0.09978404060086725,0.034772829843280326,0.08182131183703202,0.06559147708167373,0.05315891198784833,0.0260865739584183
0.056682521858148024,0.00758583533613974,0.07155421967977192,0.05973881914035388,0.039814916536937875,0.041778643880495146
0.0655351616188053,0.006722960190536295,0.06369925382639378,0.05819885066530103,0.03886447234756934,0.03370419509863022
0.013693318194964176,0.006647183687818456,0.03836571147400654,0.03625251913042169,0.02672933466806682,0.03377121485823192
0.0,0.007524747662348601,0.02898322005858915,0.005090470699820363,0.023729042191510844,0.03370231179602121
0.031225431215865296,0.008047817171880453,0.050421101783870305,0.030657594507322253,0.03103205287318583,0.04156194630454041
0.06359702039344532,0.008626912915553911,0.05083733472960974,0.039568641787926906,0.04371320439982412,0.05924738378237527
0.1348004909066428,0.03663237699869304,0.10515438967140131,0.09006584823680058,0.0633704196554361,0.03627909028891188
