T chla,Zea,DV chla,ButFuco,HexFuco,Allo,MV chlb,Neo,Viola,Fuco,chl c1+c2,chl c3,Perid
0.40411976970739755,0.06165423691870443,0.03862034344136406,0.022483034441557193,0.09285799180475399,0.012559366228139694,0.0549254645109252,0.005629986672537993,0.00881366067371789,0.07769678039207967,0.04899809426636971,0.0355985253715958,0.014714441562884584
0.3150068307889405,0.05580024987954221,0.03168401373727149,0.020406930002481616,0.08004932022314648,0.011073331423538762,0.04778713841470042,0.004610740148398672,0.007355010934996566,0.0537155170236255,0.03145624803943504,0.02762708728992846,0.014328715361032881
0.31388330410911125,0.0593874717372004,0.04096289652412326,0.01946006448317604,0.07659323855649548,0.009903228807931739,0.043996563329549286,0.004098749852227663,0.006666058767957939,0.05010057993924828,0.03359658270268054,0.027428425896307652,0.013091948510163414
0.25071163799146445,0.05637475067391566,0.04089754585009856,0.01794085762250613,0.06799867258684157,0.008007219384146249,0.037938854500284364,0.0029449458865420785,0.005333497302445455,0.035247136193062314,0.024608465463616874,0.02202127568534997,0.013581434389270734
0.2614638743081802,0.052037976143324956,0.041581906993922405,0.018025271406375408,0.07024737709130174,0.007945893454349894,0.03784173351568436,0.003111626314099924,0.005296069944434197,0.040407272661813584,0.026329665939038502,0.024122384142086693,0.013566933084097062
0.2172397763561111,0.04936683186945566,0.040204605288805664,0.016464456634663827,0.06150077460692477,0.005932520834788891,0.033834855915816524,0.0023885633333674103,0.004296013777608518,0.027172813707644197,0.016995034341300647,0.019059591673314027,0.012619169182396096
0.12573419978626052,0.04962547748448545,0.039176151466854305,0.013386860124668115,0.048646558077273964,0.0035909658353707533,0.025206085478380942,0.0010227496002519825,0.0027398335599281565,0.0019089621668591586,0.004069890778437078,0.009759287692272313,0.012428520902237297
0.034084141594144274,0.0467137011603553,0.042242228572809085,0.008708153638368844,0.026109502039179125,0.0,0.01753110146413818,0.0,0.0003366862874396616,0.0,0.0,0.0024937760172117213,0.012742621203650219
0.1328884293569167,0.04949519275304383,0.03226761157755889,0.011946126660200456,0.0479446839026601,0.004908372550103606,0.02674646157324435,0.0003899456945164071,0.0024981893522706975,0.012878596735478833,0.004311092093834269,0.01060051606922996,0.014591744273765556
0.30920246901209675,0.05213250983795795,0.03595499378774338,0.020351869244012895,0.07774272307303956,0.010453044290860324,0.049639106943570606,0.0044312590614882415,0.0068454588333201945,0.048147230615755904,0.029650465990089525,0.027269702356098352,0.013230735801488779
0.22033327572500158,0.0428577731508509,0.03382971369099065,0.016787877604845576,0.06205344627404234,0.007391597765755182,0.03628229691890428,0.002814562120816392,0.005385247045270711,0.019803303058608984,0.01617083335083125,0.01896213703233798,0.012851200996470257
0.2393568231806295,0.046698105307318494,0.032812358977076406,0.017978027362007647,0.06913546206818527,0.007489118303476867,0.037338588799059054,0.003367387376386784,0.005621699502028011,0.026244989830168805,0.02126016254083219,0.021388921043205302,0.012274183907257423
0.2602039407467695,0.055600546743168,0.037636853202127674,0.018874149467734247,0.07389105263235042,0.007818864762577824,0.040948778861528055,0.0037275801831821165,0.0060358743551921345,0.03362931016774596,0.026663594071760922,0.0221435843821056,0.011936761060887337
0.31613486728746787,0.055492434375529545,0.03606648303676936,0.021415897535133194,0.0814320325138967,0.011590616578971976,0.049601775008551785,0.004975957257062266,0.007650681318397031,0.04137591750545742,0.03661268339456439,0.02810542820246699,0.011367103467818758
0.412284442011097,0.055657960411243726,0.026855834787368256,0.02364124923934812,0.09172632358311737,0.013414249346604921,0.0618668666021992,0.006726251597418099,0.009737965581864806,0.07350348555190599,0.048812310301861464,0.03733207215910035,0.013110967016457475
0.34167802033375316,0.05766107106903176,0.041004289791951726,0.022923079745179625,0.08836869458107863,0.011260566661505753,0.048900210914356146,0.00466502394522581,0.007399435716297257,0.05793365962931073,0.03833462211504607,0.03453077755558459,0.012359494509707877
0.2623901121393819,0.05052803647764125,0.031907721327924986,0.017883571618907766,0.06887948585386505,0.008508629820934458,0.039645270752224314,0.0037428347039356914,0.006292514466031429,0.03259133565904092,0.024300775564748904,0.022064954077359027,0.010856501266047348
0.31814638005703577,0.05005062537987265,0.03295459052445649,0.019896954956464492,0.07610269615959597,0.010301428338258417,0.04645975740952053,0.004575034053306781,0.007060233660076128,0.050275909070140706,0.03406140289521915,0.028732483760950014,0.01188477617526208
0.27073317612985204,0.05054150892207916,0.03714361112986336,0.01878994719373834,0.07167715371190611,0.008345462884008573,0.041570450279462164,0.0033582114779098374,0.005906158695772721,0.03832243492122394,0.026389734532962436,0.02414444605411705,0.012552031008042218
0.25536843535352033,0.052137387508205596,0.039312503625149146,0.018504836077795545,0.0694495270253169,0.008075179139276975,0.03847956865304419,0.0028689500049725904,0.005208794472779867,0.035598263501211966,0.02197464048500143,0.023849420490542048,0.013380996608463945
0.34725013253974923,0.056136770481087325,0.03710380092615239,0.022212292362072335,0.0865833392830561,0.011300889455804377,0.049496705822728415,0.004573020126312638,0.007544833049624538,0.05891671623627471,0.03806738564371097,0.034320225573109577,0.014330028638927052
0.3549897054053747,0.04920505027863943,0.031106411044653066,0.02254231173297556,0.08844587349453742,0.01095307371052221,0.05490438810572827,0.005487283023518717,0.007807836162549905,0.06624737267266044,0.04435656948480936,0.03388904107949875,0.013619980699271539
0.2871412604163148,0.05334028526970294,0.033722122426531234,0.016820572024446402,0.06904692253740097,0.008549902277842,0.03967170771919627,0.003493211853208022,0.005566340458055801,0.04324004074163349,0.026202692938571522,0.02323208170610599,0.012036505659362103
0.2718722563620427,0.05232827473173114,0.03584417642917795,0.0202717082131416,0.07654961290265785,0.00865542349064392,0.03839391943838794,0.003478154099500365,0.005531638000511387,0.038889777213214176,0.030499291821692615,0.025002196159566257,0.010691097043277798
0.15604091702469833,0.05133141226781098,0.04062899278430848,0.015355803341754955,0.05340401422381506,0.005523085028122145,0.028366491055776905,0.0015551836072968863,0.003406909333398475,0.004328419413706937,0.008049601827959503,0.012046181089045172,0.01060776209723503
0.09746057806740457,0.05276763926332297,0.040032999401986694,0.011889886765575909,0.040727059583724426,0.002506532742518595,0.023151515254759114,0.0005159008154295595,0.002363383909090633,0.0,0.0,0.005852841415574864,0.012208802002812512
0.1920658986570017,0.05464688742103359,0.03951080215769327,0.015880468973109373,0.05819365029246745,0.005125133882538476,0.03204658383624103,0.002286007200213338,0.004098949830107921,0.021126516640361345,0.01488538204762389,0.016517027219528635,0.012898499351145417
0.26331988149142627,0.05412452988196595,0.04330243815295176,0.018458744486069996,0.07034853025428399,0.006604502720899929,0.0350642970599339,0.003309641580807651,0.005094834456480981,0.04674181719963065,0.03344983713642777,0.02459267905768344,0.012124568058703995
0.46245611742307974,0.06671006010021631,0.04181519903769593,0.029388965844175517,0.11190684467961479,0.014693789373253125,0.06416818903889157,0.007486583339819654,0.01036935193936706,0.08498371832923125,0.06290912698362411,0.044090972920476645,0.01426560736752403
0.3081519682138042,0.0650261681389333,0.03974520424977983,0.021828116998273705,0.08174104279785833,0.009043752361288192,0.04212438941927719,0.003840033092136057,0.006267749210244699,0.052967970899634814,0.037003383311933244,0.02948696144148845,0.01429093546046244
0.20718088773351873,0.05453120235443379,0.03590548617197449,0.016257697317155935,0.06102713859724577,0.005808637829004239,0.0323740844138026,0.002243678104683342,0.004126436610324069,0.0279608358328917,0.0164928480218439,0.017787327522689838,0.01353966820095134
0.20165948983057466,0.05271717402800223,0.037311467995333275,0.015972981518784148,0.059896778755684554,0.006421493465234649,0.036719963175739764,0.002526830757181243,0.004579886418217625,0.02061515089721982,0.013662140376664234,0.01755472789620042,0.013879831790595088
0.26451403784349825,0.057697061679568076,0.038680185900678454,0.018829098442512588,0.06999276467066687,0.008535080035914282,0.042828892033368024,0.0034046748222630423,0.006412928394433566,0.030322652011559998,0.02390385027816505,0.022781473326182262,0.01357798014203681
0.3232769862321282,0.05454240355759214,0.03953765512736171,0.021515818045848692,0.08285156219055831,0.011067646204965162,0.04606015228874659,0.00438915733595986,0.007718832706811764,0.052233525459901405,0.03428508451364083,0.029316582423261954,0.012409306943570349
0.34605759414300064,0.05145289693448764,0.0344034494886038,0.02130707005245048,0.08250702267980012,0.011107435798999843,0.04871563637856481,0.004824230792135233,0.00758132290004237,0.06174466932055876,0.040665296160014006,0.029975805130420384,0.013211597019216438
0.19846475830580557,0.0450747520535126,0.036533882221753994,0.015358337135468025,0.05895933430266734,0.006352315551830645,0.029777641467573182,0.0018598370945983019,0.003959687528034928,0.024146235317004886,0.017021646751303878,0.019202777396753933,0.01101172011301486
0.1937882551589228,0.04559920219447772,0.03800238947368813,0.015163967647199992,0.058992900892661605,0.005888621249789307,0.02809296383067881,0.0021442218637127463,0.0038638879864851382,0.02210729675349249,0.018675931741021914,0.017294536717455337,0.010941228402896278
0.24682236452374984,0.0492111195918313,0.03955442347802533,0.01740891005483998,0.06806787058759081,0.007710178501998096,0.034486746180081324,0.0028142078465145984,0.005197446628077857,0.038841101535130554,0.025912824046774814,0.023219794889040673,0.012133203911561766
0.20935220566149015,0.04941227520065966,0.04190889817089132,0.01620941133695588,0.061940290752029996,0.005995470154108689,0.030436965178670533,0.0020511195331814006,0.004066893235501929,0.027473070596727062,0.021342133979241663,0.02092639748448767,0.011788934273102486
0.1875242780175901,0.05267184526217148,0.04388732320018035,0.01590590856259077,0.060533778840690805,0.004985045133374,0.02606221238333947,0.0014769187096435217,0.003106619085598542,0.02492279984469859,0.01786038526844139,0.017961264426238473,0.01221392580468984
0.23685397845286846,0.05502509467350096,0.04005285011308827,0.018240752534711014,0.0675512493172925,0.005832010767221253,0.029749234520700468,0.0018428710458284195,0.003711398283915813,0.04213053863271455,0.026689649189346715,0.021897765533097,0.013312710351444896
